CountryS,CountryR,Amount,Year
GRD,GUY,8738.92,2002
SUR,CUW,5334.85,2007
GUF,CRI,3566.09,2007
GLP,ARG,3925.13,2013
KNA,AIA,6436.45,2016
PRI,DMA,5287.71,2007
GRL,KNA,7877.91,2006
KNA,GLP,8604.73,2002
ABW,CHL,1626.81,2017
CYM,PAN,1997.72,2010
SPM,GLP,297.18,2012
GUY,GRL,4133.79,2004
VGB,PRY,4822.59,2017
SPM,DOM,8483.66,2008
SUR,MSR,6583.05,2013
CAN,CHL,5394.34,2005
ARG,CUW,4342.27,2012
VGB,VCT,1893.79,2017
CUB,VEN,4181.02,2009
MAF,GUY,2526.51,2012
GTM,CUB,352.13,2014
URY,CUB,9820.91,2017
MTQ,PER,4484.79,2014
BHS,KNA,3793.78,2001
BLM,TCA,6488.07,2001
BRB,COL,4566.9,2003
HND,PER,9551.85,2018
ECU,CYM,4713.36,2002
TCA,ARG,3883.57,2014
JAM,SPM,521.28,2010
MAF,VEN,9655.3,2020
GUF,BLM,7998.47,2007
VIR,HND,8.52,2000
BES,ARG,4679.55,2002
MEX,ATG,2362.78,2008
ANT,JAM,6279.94,2006
BOL,BLZ,1675.61,2015
NIC,SLV,7521.63,2003
URY,BMU,8164.43,2006
SPM,GLP,8872.77,2018
SPM,SPM,6859.58,2000
CUB,MEX,6765.28,2009
GTM,MSR,7377.28,2016
CUW,VEN,3312.36,2012
CRI,GUY,5111.31,2006
ATG,ARG,920.72,2007
PRI,GRL,2538.45,2017
CHL,BLM,9987.7,2016
COL,ATG,4298.75,2009
BOL,BHS,836.63,2010
JAM,CYM,7955.27,2002
URY,GUF,4137.83,2015
HND,AIA,2814.34,2015
GRL,SPM,5027.53,2018
PER,CYM,7310.03,2013
PER,CAN,9707.72,2013
CUB,MEX,4486.79,2007
MAF,BRA,9672.23,2013
MAF,FLK,1137.02,2009
SUR,BRB,5599.09,2003
PAN,MTQ,847.51,2008
MEX,AIA,1035.7,2012
HTI,NIC,296.13,2008
ATG,BES,2866.6,2015
ARG,COL,6876.21,2015
ECU,SLV,7505.13,2010
CUW,VIR,2866.02,2006
CUW,SLV,711.43,2016
SUR,CRI,9522.19,2016
VIR,VCT,1710.3,2017
SXM,CAN,4385.03,2018
ARG,VIR,445.13,2004
BMU,PAN,5598.81,2000
NIC,URY,1838.54,2015
BMU,BLZ,2117.08,2013
BLZ,BOL,9182.63,2003
GUF,GRD,8216.44,2000
GRD,ABW,6066.11,2020
CRI,BRA,5831.94,2012
SLV,CYM,6945.4,2015
GRL,BHS,8340.21,2015
ABW,NIC,8412.99,2011
GLP,LCA,1304.89,2006
PRY,VIR,9938.79,2010
MAF,CAN,9024.52,2008
NIC,FLK,7532.04,2017
DOM,MSR,4139.2,2006
KNA,CAN,9490.96,2003
BOL,ARG,4921,2009
FLK,DMA,2222.88,2001
BRA,VEN,4335.63,2007
CUW,CYM,9348.66,2005
VEN,CUB,1150.61,2015
BMU,GTM,2317.41,2000
PAN,URY,9587.81,2020
SPM,NIC,8535.39,2017
AIA,ATG,1920.25,2005
PRI,GTM,9293.77,2001
HTI,CHL,3988.43,2008
MEX,CUB,8924.52,2003
NIC,ABW,9544.32,2003
ECU,GUY,226.44,2007
SLV,HTI,536.57,2008
TTO,BHS,7932.14,2003
PER,PAN,9622.83,2010
MSR,PRI,5196.34,2015
ABW,FLK,6340.56,2011
GUF,VCT,432.33,2005
VGB,PAN,4134.76,2020
CYM,FLK,8982.76,2014
MTQ,COL,1264.81,2018
CAN,AIA,8466.85,2011
GUF,CUW,1296.97,2009
PRI,GRL,6454.75,2000
BLM,GLP,4683.78,2020
VIR,HTI,5076.85,2001
ABW,GLP,7758.97,2014
COL,ABW,6520.72,2002
CHL,BLZ,6531.14,2005
ANT,JAM,6663.41,2004
GRD,CUW,2365.62,2015
DMA,BRA,8679.57,2009
ATG,VCT,8744.05,2016
GTM,ARG,2430.8,2003
ARG,GUF,7703.33,2016
SLV,BHS,2747.55,2017
CUB,VIR,6517.02,2001
BES,BLZ,9711.66,2006
CUW,SXM,7592.75,2018
TCA,PER,4478.6,2004
GRL,ARG,2975.28,2005
GLP,VGB,6955.34,2017
BMU,PER,2891.47,2011
SLV,PRI,5612.04,2005
TTO,MTQ,7365.22,2007
TTO,CUW,7685.06,2009
MAF,DOM,7964.2,2003
SXM,SXM,1792.79,2016
BOL,AIA,7967.22,2016
BMU,PAN,3077.53,2002
BLM,ATG,3260.81,2012
BHS,GLP,5787.33,2008
BOL,TCA,3148.25,2016
BLM,BLZ,3102.32,2020
BLM,ATG,2176.25,2009
HND,CHL,313.96,2016
USA,SLV,8694.45,2015
LCA,DOM,8020.69,2017
HTI,MAF,2643.85,2003
ARG,USA,1541.1,2001
VCT,GUY,3618.8,2017
HTI,URY,2524.01,2009
AIA,PER,2857.19,2019
CUB,VEN,573.57,2014
CHL,HND,5618.58,2002
JAM,FLK,2775.25,2005
COL,COL,4843.31,2001
LCA,BLZ,3431.79,2011
BHS,GUY,2824.14,2012
VIR,ECU,2104.75,2003
TTO,KNA,3762.15,2018
SPM,CHL,1433.16,2002
VEN,ARG,3585.8,2001
DOM,JAM,4316.45,2017
BHS,DOM,3938.88,2014
GRL,SUR,9868.32,2019
SXM,GTM,7407.4,2014
DMA,CAN,5793.78,2011
BHS,MSR,5531.84,2017
BRB,GRD,5387.36,2003
GRD,PER,3098.38,2014
LCA,BHS,8549.02,2010
BOL,CAN,6958.01,2011
MEX,JAM,2715.75,2006
URY,VCT,1575.7,2015
CHL,TCA,1282.83,2002
SLV,JAM,6077.37,2008
CUW,COL,7897.86,2016
CUW,LCA,9381.64,2002
MTQ,GUY,7619.84,2015
VGB,PER,8094.26,2004
HND,CYM,5957.74,2011
VGB,SUR,2233.56,2007
BLM,PER,4245.39,2012
PER,PER,3777.29,2011
MSR,GUY,2643.49,2011
CUB,MAF,2914.01,2009
TTO,CAN,3648.04,2015
BMU,PRY,1430.08,2002
VGB,BHS,3704.4,2006
BLZ,VCT,1267.74,2019
HND,AIA,7816.72,2007
CHL,SLV,3679.66,2012
JAM,GRD,560.86,2003
ANT,GLP,6200.49,2009
TTO,CUW,3645.94,2004
NIC,GUY,4596.11,2002
BHS,MEX,9645.82,2000
JAM,SXM,3870.48,2005
BHS,CUW,3069.88,2001
NIC,PAN,5545.53,2002
BHS,PAN,6272.66,2019
BRA,TTO,9239.58,2008
HND,DMA,8127.96,2018
TTO,DOM,6181.52,2014
ABW,NIC,7149.3,2012
BRA,DOM,2151.3,2007
DOM,VCT,116.81,2020
BRA,LCA,9034.39,2007
NIC,MSR,3386.93,2005
PRI,GRL,6335.61,2019
HTI,URY,9249.73,2002
BLZ,MAF,4408.11,2005
PAN,DOM,5691.71,2001
DMA,KNA,844.95,2008
BLM,GLP,3938.82,2013
VGB,SXM,6800.45,2011
CUB,GUF,4418.54,2015
DOM,BHS,5713.83,2000
BRB,FLK,2765.79,2000
BES,CUW,8507.99,2020
MSR,BLM,5779.22,2004
KNA,MSR,549.05,2013
CRI,MSR,1517.02,2016
BRB,AIA,2508.36,2005
GRD,VGB,5732.23,2018
BRB,JAM,5520.31,2017
BLM,BHS,6466.66,2002
HTI,COL,2592.73,2002
URY,MEX,6121.93,2012
SPM,CHL,5425.73,2018
SPM,GTM,3291.77,2017
ABW,CYM,5513.88,2018
GUY,GRL,3548.61,2012
DMA,ECU,55.65,2008
LCA,AIA,2159.13,2020
ATG,GTM,9174.29,2017
COL,GLP,6559.97,2004
CAN,HTI,7059.78,2020
