CountryS,CountryR,Amount,Year
LVA,LTU,4602.58,2000
GRC,SVK,259.98,2012
ITA,BGR,7098.32,2006
SVN,SWE,3282.82,2005
SWE,MLT,7096.78,2019
EST,DNK,3985.83,2013
FRA,HUN,5068.82,2012
DEU,DEU,235.53,2018
IRL,SVK,9483.94,2006
FRA,BGR,36.81,2004
LTU,EST,9545.09,2010
AUT,NLD,6413.67,2018
FRA,ESP,8071.13,2000
BEL,BEL,4574.82,2017
CZE,NLD,7026.2,2004
DEU,PRT,5280.09,2017
HRV,CZE,1511.89,2012
MLT,SVK,3720.8,2004
SWE,POL,8697.72,2019
ROU,DEU,5595.99,2002
IRL,LVA,5082.5,2011
SVN,SVK,509.7,2006
MLT,EST,3879.87,2010
LTU,DEU,1991.96,2006
CYP,PRT,8211.84,2000
ESP,NLD,8686.13,2018
AUT,LUX,4938.73,2001
SVN,NLD,7566.11,2003
AUT,HRV,9218.57,2003
CYP,ITA,3458.25,2020
LUX,EST,1470.47,2008
EST,HRV,6425.87,2020
ESP,LVA,4202.85,2015
DNK,FRA,2043.97,2007
ITA,EST,5380.58,2012
ROU,CYP,1659.04,2002
PRT,ESP,1939.04,2020
BGR,NLD,5024.16,2006
ESP,ROU,2079.57,2018
EST,BEL,5234.24,2004
FIN,POL,552.91,2008
POL,FIN,2210.38,2016
HRV,SVN,674.02,2008
POL,HRV,4536.05,2007
ROU,LVA,1957.86,2004
EST,HRV,6626.38,2004
FIN,AUT,7166.45,2008
BEL,HRV,3679.31,2019
AUT,SVN,6911.41,2004
ESP,LUX,687.13,2013
LVA,ROU,551.93,2014
MLT,SWE,7158.58,2017
FIN,SWE,2933.04,2012
DNK,AUT,1927.63,2016
SVK,FRA,4622.79,2009
DNK,NLD,4643.49,2012
LVA,BEL,1536.7,2003
MLT,SVN,3553.49,2010
HRV,GRC,4165.2,2005
AUT,BEL,2552.22,2013
POL,SVN,7512.18,2001
ITA,SWE,2040.94,2015
SVN,FRA,3058.64,2019
FRA,FRA,2930.45,2017
HRV,POL,8773.56,2003
IRL,HUN,986.48,2015
HRV,FIN,5410.75,2006
LVA,BGR,5475.49,2002
DNK,ESP,4697.63,2016
FIN,MLT,6978.07,2012
SVN,CZE,5762.66,2006
ROU,ROU,5637.82,2017
NLD,CYP,231.99,2004
AUT,BEL,6914.66,2009
CZE,PRT,2592.52,2019
LVA,DEU,6196.26,2003
SWE,FRA,5971.65,2013
AUT,NLD,3830.18,2003
EST,HRV,3354.41,2004
DEU,FRA,4250.75,2014
SWE,SWE,3996.11,2010
ROU,LVA,4752.97,2001
GRC,EST,6135.62,2001
NLD,IRL,475.23,2000
DNK,IRL,2558.26,2015
DEU,ITA,1246.1,2012
DNK,SVN,8379.65,2004
ITA,HRV,1512.31,2004
CZE,DNK,5715.14,2001
LUX,FRA,2737.18,2005
DNK,LUX,7269.41,2012
POL,SVN,5775.46,2004
LVA,NLD,6421.06,2008
EST,NLD,574.37,2013
SWE,LVA,3059.17,2000
NLD,SVN,6372.82,2009
BGR,HRV,2489.08,2007
POL,ROU,7680.57,2010
GRC,ITA,4604.14,2017
IRL,LVA,6465.09,2005
PRT,PRT,220.64,2020
SVN,BGR,4555.67,2012
BEL,ROU,3971.79,2012
HUN,HUN,6402.42,2006
CZE,NLD,1441.14,2004
EST,BEL,4268.42,2005
SWE,ESP,4266.81,2010
BEL,LTU,9566.84,2017
EST,AUT,8440.32,2008
SVK,SVK,2939.91,2011
CZE,SVK,3082.17,2014
CZE,AUT,1982.07,2017
ESP,GRC,2115.09,2014
CYP,ESP,7980.09,2000
CYP,SVN,2372.47,2015
BGR,POL,4060.42,2012
HUN,SVK,6515.86,2010
DEU,BGR,9601.93,2006
ROU,SWE,3186.47,2011
HRV,IRL,6231.36,2005
HUN,BEL,1949.41,2007
SVN,BGR,845.4,2014
DNK,ITA,1949.95,2011
SVK,FIN,8947.56,2009
PRT,AUT,3026.15,2017
BGR,CYP,5963.06,2013
NLD,FRA,7489.86,2018
NLD,DEU,5338.01,2008
CZE,NLD,123.63,2016
GRC,CZE,9674.11,2003
CZE,FIN,2504.8,2018
NLD,SVN,2212.34,2003
FRA,FIN,2261.07,2010
GRC,CYP,2642.01,2018
HUN,FRA,1777.62,2012
ROU,EST,9587.12,2019
EST,MLT,6887.77,2019
ROU,BEL,3443.89,2000
GRC,FIN,8615.45,2017
CYP,BEL,3189.05,2017
EST,LVA,1966.78,2016
ROU,BGR,3416.57,2006
HRV,BEL,8992.81,2007
CYP,NLD,3582.73,2020
GRC,LTU,6819.15,2018
CZE,GRC,1217.67,2013
LUX,GRC,3744.43,2020
HRV,HUN,1147.25,2009
ESP,POL,7785.63,2014
ESP,SWE,5789.42,2018
POL,BGR,3336.31,2006
GRC,FRA,5909.88,2007
EST,CYP,3928.69,2000
ITA,LTU,6098.06,2008
SVN,SVN,7014.67,2017
HUN,BGR,7576.62,2001
NLD,CZE,3761.52,2011
IRL,DNK,7034.62,2020
EST,IRL,4464.53,2017
GRC,ITA,9172.98,2011
SVK,POL,6272.7,2007
ROU,CZE,186.65,2016
LTU,HUN,9227.56,2009
GRC,PRT,6817.66,2014
CYP,HUN,8066.07,2018
FRA,HRV,1174.37,2004
ROU,AUT,5261.52,2009
BGR,ROU,5081.8,2016
CYP,LTU,8353.51,2016
DNK,ROU,6442.77,2012
SWE,LUX,2103.18,2005
SWE,SVK,7439.1,2013
GRC,BGR,9772.47,2004
HRV,SVN,5101.94,2017
NLD,ROU,512.48,2017
CYP,AUT,1966.78,2018
EST,SVK,3727.18,2002
ROU,BEL,6914.37,2004
MLT,CYP,3369.38,2008
DNK,DEU,5057.47,2005
GRC,CYP,9462.85,2020
AUT,IRL,4396.41,2007
SVK,BEL,4741.01,2015
AUT,LUX,170.76,2003
CZE,NLD,9240.57,2016
DEU,HUN,3242.06,2012
GRC,CYP,182.24,2010
DEU,AUT,7969.68,2015
AUT,ESP,296.03,2015
PRT,SVN,8029.11,2014
BGR,IRL,5509.44,2003
GRC,LVA,4981.35,2009
HUN,DEU,9281.56,2000
DNK,LVA,439.25,2009
IRL,HRV,1491.63,2004
MLT,LUX,1022.72,2019
SWE,FIN,802.6,2010
AUT,MLT,9324.64,2011
HRV,PRT,7556.98,2009
AUT,POL,2911.44,2015
EST,HUN,6018.7,2000
AUT,BGR,271.6,2009
MLT,LUX,5909.52,2007
CYP,LVA,8461.39,2012
FRA,FRA,5719.01,2004
ROU,MLT,7211.51,2009
IRL,LVA,58.08,2007
ITA,NLD,1163.48,2016
PRT,NLD,2062.86,2003
NLD,EST,2620.78,2011
ESP,ESP,5254.66,2016
IRL,ITA,8910.82,2006
HRV,FRA,1040.83,2015
MLT,CYP,1842.65,2002
EST,DNK,30.83,2017
HRV,HUN,675.24,2014
POL,BEL,3515.15,2004
LUX,SWE,1650.34,2012
POL,SVK,7480.25,2020
NLD,SVK,6312.33,2006
GRC,LTU,7111.96,2010
CZE,SWE,1645.61,2012
BEL,FRA,7611.92,2008
ITA,POL,5929.64,2016
BGR,LUX,3467.74,2011
LTU,DEU,518.39,2008
PRT,BGR,3929.25,2016
DEU,ITA,1048.71,2007
LVA,BEL,5633.61,2005
HUN,SVN,318.43,2002
GRC,FIN,5990.96,2011
ROU,ROU,8738.5,2018
LTU,CYP,810.78,2019
SVN,IRL,5179.17,2009
POL,HUN,3253.57,2003
CYP,SVN,3830.55,2004
HUN,ROU,1246.71,2019
SWE,DEU,2772.02,2016
ROU,POL,3980.65,2009
SVK,HRV,652.34,2014
DNK,PRT,4723.16,2004
DEU,ESP,2359.46,2013
BGR,FIN,9295.2,2007
BGR,SVK,459.68,2000
ITA,SVK,8540.39,2000
SVN,GRC,9476.89,2011
NLD,FRA,2748.08,2020
CZE,GRC,5220.34,2011
GRC,CYP,9787.91,2018
DNK,IRL,3536.77,2000
BGR,CZE,4123.62,2014
FRA,NLD,138.24,2015
ESP,LUX,9414.35,2000
ROU,POL,8530.23,2000
GRC,POL,3625.2,2005
ESP,EST,7954.35,2006
ROU,ITA,1584.46,2008
ITA,DEU,8783.49,2005
DNK,DEU,2860.69,2008
NLD,AUT,8327.36,2017
EST,BGR,5604.39,2005
SVK,CZE,7609.22,2014
AUT,NLD,4978.44,2020
ROU,SVN,90.63,2012
DEU,SVK,872.37,2004
BGR,LVA,2319.15,2000
LVA,ITA,553.23,2000
PRT,LVA,6746.61,2019
CZE,HUN,4410.48,2003
LVA,HRV,7207.52,2003
ROU,GRC,5040.44,2003
EST,GRC,6835.97,2019
FIN,FIN,6220.2,2006
BGR,SVN,1182.79,2000
FIN,NLD,3478.45,2005
BEL,CZE,7379.27,2012
POL,CYP,4180.94,2009
ITA,ITA,502.27,2003
GRC,LUX,5671.13,2008
BGR,HUN,8945.34,2007
IRL,BEL,9981.81,2020
ESP,SVN,6752.15,2020
BEL,CYP,4259.55,2019
CYP,LVA,626.4,2006
EST,LVA,667.24,2009
LTU,NLD,6403.81,2015
ROU,DNK,8804.56,2009
PRT,IRL,8249.19,2010
CZE,ITA,1762.9,2018
ITA,MLT,2839.81,2020
FRA,GRC,6051.15,2015
HUN,ESP,1859.13,2012
ROU,IRL,9509.17,2005
CZE,MLT,3096.17,2006
DNK,ESP,9543.03,2015
POL,MLT,1335.66,2019
SVN,DEU,2400.63,2013
CYP,DNK,7829.98,2015
DNK,BEL,5140.43,2003
FIN,GRC,849.99,2008
HRV,SWE,1913.25,2010
AUT,LTU,8165.52,2005
LTU,SVN,7970.47,2012
FRA,DEU,1993.38,2015
CZE,FIN,7168.23,2013
PRT,MLT,2583.37,2010
SVN,ITA,5594.64,2001
FRA,HUN,6252.96,2019
POL,BEL,6688.62,2018
DEU,GRC,3764.53,2013
BEL,SVK,6244.89,2018
FRA,POL,355.24,2000
CYP,GRC,4831.54,2007
BGR,BEL,6134.59,2020
ITA,DNK,7006.79,2002
CYP,NLD,5943.72,2004
BEL,BEL,4650.32,2011
POL,GRC,3942.36,2016
CYP,PRT,6452.9,2017
FRA,ITA,9649.65,2019
EST,SVK,4849.07,2003
SVN,ROU,2896.12,2003
CZE,AUT,5812.79,2016
EST,SVK,3642.56,2003
CYP,NLD,4038.91,2012
DEU,AUT,8700.52,2005
IRL,LUX,4578.64,2019
HUN,BGR,7261.77,2009
ESP,ESP,6160.99,2002
CYP,ROU,4989.04,2013
AUT,PRT,9832.38,2009
DNK,FRA,6006.84,2016
AUT,DEU,3900.52,2008
FRA,CZE,1341.14,2000
FRA,LUX,3460.33,2007
ROU,FRA,8493.26,2000
SVN,ITA,4890.95,2020
FIN,LVA,3208.44,2011
GRC,CZE,8549,2015
SWE,ESP,2031.84,2005
MLT,HRV,7932.37,2010
NLD,MLT,9917.95,2013
SWE,IRL,7174.57,2018
AUT,AUT,2807.31,2003
LUX,BGR,4419.83,2016
ITA,FIN,2364.76,2011
GRC,SVN,9269.2,2011
GRC,LTU,8384.11,2010
ROU,MLT,1919.64,2004
LTU,GRC,38.48,2013
CZE,SVN,818.91,2010
FRA,IRL,1571.25,2019
LUX,EST,7470.77,2015
SVN,SWE,3119.06,2000
HRV,CZE,2319.14,2013
SVK,PRT,1724.61,2009
GRC,BEL,4643.8,2018
MLT,LTU,6910.68,2001
LVA,SVK,4041.03,2008
HUN,ESP,2623.52,2008
