CountryS,CountryR,Amount,Year
COL,ROU,5414.34,2000
GRD,HRV,4554.43,2004
LCA,SWE,6397.45,2020
NIC,EST,5541.89,2005
BHS,BEL,5327.23,2000
VEN,BGR,338.29,2007
KNA,NLD,9715.26,2010
URY,POL,2255.12,2004
NIC,PRT,9338.3,2001
VCT,GRC,6322.36,2004
GTM,AUT,2840.66,2015
CUW,FIN,8052.7,2002
CRI,LTU,6832.68,2015
PRI,NLD,609.56,2006
VEN,POL,4613.56,2009
CAN,FIN,9631.78,2001
SUR,GRC,5961.86,2015
AIA,CZE,1787.95,2015
BMU,AUT,6432.35,2007
PAN,ITA,1083.34,2001
VGB,LVA,7406.71,2002
CRI,FRA,7892.28,2001
GLP,LUX,299.58,2014
CHL,EST,2488.79,2017
COL,DEU,6570.7,2015
BRB,HRV,8823.86,2020
CHL,LTU,564.87,2002
USA,ESP,8239.85,2004
BLZ,ROU,5420.96,2018
FLK,LTU,4699.36,2006
TCA,CZE,3297.71,2002
GLP,LTU,643.26,2010
CAN,IRL,8316.66,2004
PRY,SVN,8655.25,2019
SLV,LTU,3818.23,2009
BHS,CZE,6053.8,2002
GRD,POL,3849.29,2010
ARG,LUX,1311.18,2007
VCT,EST,2278.81,2018
GUY,AUT,457.19,2013
GUY,GRC,3914.07,2002
GRD,DNK,5892.3,2018
DMA,MLT,2433.46,2019
MTQ,ROU,2539.74,2005
HTI,SVK,1581.18,2014
USA,FIN,8285.81,2020
LCA,LVA,352.42,2001
MEX,ESP,1621.18,2010
ARG,CZE,5010.35,2006
TCA,DNK,5366.45,2011
VGB,ROU,3283.09,2016
PRI,ROU,9578.73,2017
HND,HUN,3543.33,2011
CRI,CYP,1007.44,2006
MTQ,LVA,4855.37,2000
PRY,HUN,9305.06,2008
GRL,FIN,6800.45,2019
VCT,ROU,443.69,2002
SPM,BGR,1973.93,2007
MSR,GRC,1782,2018
ARG,FIN,3042.46,2018
BLZ,NLD,8835.5,2007
BRB,BEL,5673.81,2014
USA,GRC,648.7,2009
LCA,MLT,5443.04,2004
TTO,AUT,3098.07,2000
MEX,ITA,4542.37,2018
CUB,BGR,7394.61,2004
FLK,SWE,8876.21,2007
URY,CZE,9525.04,2005
CAN,LUX,4635.48,2014
URY,CYP,6870.24,2014
PRY,POL,5094.93,2014
ECU,LVA,9267.63,2016
CUB,FIN,331.6,2015
GTM,ITA,5623.96,2002
ABW,POL,8545.37,2003
GUF,LVA,5918.43,2015
HTI,HUN,7241.03,2005
MSR,ESP,5514.3,2011
MTQ,EST,8487.87,2015
CHL,LUX,1829.56,2007
NIC,ITA,5735.02,2001
FLK,BGR,982.85,2020
CAN,LVA,2292.32,2010
HND,GRC,3209.19,2019
ATG,EST,1083.23,2010
VGB,ROU,8316.38,2007
CHL,SVN,289.16,2014
VCT,SVK,7307.57,2007
VEN,EST,9295.59,2020
HTI,POL,9563.84,2000
TCA,AUT,3937.48,2002
MAF,DNK,7477.22,2020
FLK,FIN,8210.1,2008
URY,FRA,3776.07,2012
TTO,POL,7101.54,2004
DOM,AUT,4902.39,2004
USA,PRT,3436.07,2002
BLZ,LVA,370.68,2007
ARG,ITA,7854.42,2011
COL,HRV,668.81,2007
MTQ,SVK,1869.61,2008
MEX,BEL,5801.55,2019
GLP,DNK,7448.03,2010
MTQ,SVK,531.44,2013
ARG,HRV,7404.86,2012
VCT,DNK,3718.83,2003
COL,SVN,968.97,2015
NIC,LUX,1710.38,2010
MTQ,POL,3464.29,2009
VEN,HUN,6786.48,2005
VCT,SVK,5257.33,2014
CRI,FRA,4994.73,2020
PRI,ROU,2576.58,2005
BMU,AUT,4879.11,2014
PRY,ESP,9043.57,2020
HTI,EST,9741.57,2012
TCA,SVN,8255.89,2007
